name,party,country,norm_name
Sérgio GONÇALVES,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Portugal,SÉRGIO GONÇALVES
Nicolás GONZÁLEZ CASARES,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,NICOLÁS GONZÁLEZ CASARES
Esteban GONZÁLEZ PONS,Group of the European People's Party (Christian Democrats),Spain,ESTEBAN GONZÁLEZ PONS
Giorgio GORI,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,GIORGIO GORI
Małgorzata GOSIEWSKA,European Conservatives and Reformists Group,Poland,MAŁGORZATA GOSIEWSKA
Dirk GOTINK,Group of the European People's Party (Christian Democrats),Netherlands,DIRK GOTINK
Sandro GOZI,Renew Europe Group,France,SANDRO GOZI
Maria GRAPINI,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Romania,MARIA GRAPINI
Petras GRAŽULIS,Europe of Sovereign Nations Group,Lithuania,PETRAS GRAŽULIS
Markéta GREGOROVÁ,Group of the Greens/European Free Alliance,Czechia,MARKÉTA GREGOROVÁ
Branko GRIMS,Group of the European People's Party (Christian Democrats),Slovenia,BRANKO GRIMS
Catherine GRISET,Patriots for Europe Group,France,CATHERINE GRISET
Hanna GRONKIEWICZ-WALTZ,Group of the European People's Party (Christian Democrats),Poland,HANNA GRONKIEWICZ-WALTZ
Bart GROOTHUIS,Renew Europe Group,Netherlands,BART GROOTHUIS
Elisabeth GROSSMANN,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Austria,ELISABETH GROSSMANN
Christophe GRUDLER,Renew Europe Group,France,CHRISTOPHE GRUDLER
Elisabetta GUALMINI,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,ELISABETTA GUALMINI
Cristina GUARDA,Group of the Greens/European Free Alliance,Italy,CRISTINA GUARDA
Bernard GUETTA,Renew Europe Group,France,BERNARD GUETTA
Martin GÜNTHER,The Left group in the European Parliament - GUE/NGL,Germany,MARTIN GÜNTHER
Maria GUZENINA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Finland,MARIA GUZENINA
Enikő GYŐRI,Patriots for Europe Group,Hungary,ENIKŐ GYŐRI
András GYÜRK,Patriots for Europe Group,Hungary,ANDRÁS GYÜRK
Michalis HADJIPANTELA,Group of the European People's Party (Christian Democrats),Cyprus,MICHALIS HADJIPANTELA
Svenja HAHN,Renew Europe Group,Germany,SVENJA HAHN
Roman HAIDER,Patriots for Europe Group,Austria,ROMAN HAIDER
Andrzej HALICKI,Group of the European People's Party (Christian Democrats),Poland,ANDRZEJ HALICKI
Niels Flemming HANSEN,Group of the European People's Party (Christian Democrats),Denmark,NIELS FLEMMING HANSEN
Rima HASSAN,The Left group in the European Parliament - GUE/NGL,France,RIMA HASSAN
Gerald HAUSER,Patriots for Europe Group,Austria,GERALD HAUSER
Martin HÄUSLING,Group of the Greens/European Free Alliance,Germany,MARTIN HÄUSLING
Mircea-Gheorghe HAVA,Group of the European People's Party (Christian Democrats),Romania,MIRCEA-GHEORGHE HAVA
Valérie HAYER,Renew Europe Group,France,VALÉRIE HAYER
Anja HAZEKAMP,The Left group in the European Parliament - GUE/NGL,Netherlands,ANJA HAZEKAMP
Hannes HEIDE,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Austria,HANNES HEIDE
Eero HEINÄLUOMA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Finland,EERO HEINÄLUOMA
Anna-Maja HENRIKSSON,Renew Europe Group,Finland,ANNA-MAJA HENRIKSSON
Niclas HERBST,Group of the European People's Party (Christian Democrats),Germany,NICLAS HERBST
Esther HERRANZ GARCÍA,Group of the European People's Party (Christian Democrats),Spain,ESTHER HERRANZ GARCÍA
Krzysztof HETMAN,Group of the European People's Party (Christian Democrats),Poland,KRZYSZTOF HETMAN
Monika HOHLMEIER,Group of the European People's Party (Christian Democrats),Germany,MONIKA HOHLMEIER
Martin HOJSÍK,Renew Europe Group,Slovakia,MARTIN HOJSÍK
Pär HOLMGREN,Group of the Greens/European Free Alliance,Sweden,PÄR HOLMGREN
György HÖLVÉNYI,Patriots for Europe Group,Hungary,GYÖRGY HÖLVÉNYI
Alicia HOMS GINEL,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,ALICIA HOMS GINEL
Sérgio HUMBERTO,Group of the European People's Party (Christian Democrats),Portugal,SÉRGIO HUMBERTO
Ivars IJABS,Renew Europe Group,Latvia,IVARS IJABS
Céline IMART,Group of the European People's Party (Christian Democrats),France,CÉLINE IMART
Evin INCIR,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sweden,EVIN INCIR
Paolo INSELVINI,European Conservatives and Reformists Group,Italy,PAOLO INSELVINI
Diana IOVANOVICI ŞOŞOACĂ,Non-attached Members,Romania,DIANA IOVANOVICI ŞOŞOACĂ
Patryk JAKI,European Conservatives and Reformists Group,Poland,PATRYK JAKI
Hana JALLOUL MURO,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,HANA JALLOUL MURO
France JAMET,Patriots for Europe Group,France,FRANCE JAMET
Adam JARUBAS,Group of the European People's Party (Christian Democrats),Poland,ADAM JARUBAS
Romana JERKOVIĆ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Croatia,ROMANA JERKOVIĆ
Marc JONGEN,Europe of Sovereign Nations Group,Germany,MARC JONGEN
Dariusz JOŃSKI,Group of the European People's Party (Christian Democrats),Poland,DARIUSZ JOŃSKI
Virginie JORON,Patriots for Europe Group,France,VIRGINIE JORON
Pierre JOUVET,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,France,PIERRE JOUVET
Irena JOVEVA,Renew Europe Group,Slovenia,IRENA JOVEVA
Rasa JUKNEVIČIENĖ,Group of the European People's Party (Christian Democrats),Lithuania,RASA JUKNEVIČIENĖ
Nora JUNCO GARCÍA,European Conservatives and Reformists Group,Spain,NORA JUNCO GARCÍA
Alexander JUNGBLUTH,Europe of Sovereign Nations Group,Germany,ALEXANDER JUNGBLUTH
Taner KABILOV,Non-attached Members,Bulgaria,TANER KABILOV
François KALFON,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,France,FRANÇOIS KALFON
Erik KALIŇÁK,Non-attached Members,Slovakia,ERIK KALIŇÁK
Marina KALJURAND,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Estonia,MARINA KALJURAND
Sandra KALNIETE,Group of the European People's Party (Christian Democrats),Latvia,SANDRA KALNIETE
Mariusz KAMIŃSKI,European Conservatives and Reformists Group,Poland,MARIUSZ KAMIŃSKI
Radan KANEV,Group of the European People's Party (Christian Democrats),Bulgaria,RADAN KANEV
Assita KANKO,European Conservatives and Reformists Group,Belgium,ASSITA KANKO
Karin KARLSBRO,Renew Europe Group,Sweden,KARIN KARLSBRO
Fernand KARTHEISER,Non-attached Members,Luxembourg,FERNAND KARTHEISER
Ľubica KARVAŠOVÁ,Renew Europe Group,Slovakia,ĽUBICA KARVAŠOVÁ
Elsi KATAINEN,Renew Europe Group,Finland,ELSI KATAINEN
Emmanouil KEFALOGIANNIS,Group of the European People's Party (Christian Democrats),Greece,EMMANOUIL KEFALOGIANNIS
Billy KELLEHER,Renew Europe Group,Ireland,BILLY KELLEHER
Fabienne KELLER,Renew Europe Group,France,FABIENNE KELLER
Seán KELLY,Group of the European People's Party (Christian Democrats),Ireland,SEÁN KELLY
Martine KEMP,Group of the European People's Party (Christian Democrats),Luxembourg,MARTINE KEMP
Rudi KENNES,The Left group in the European Parliament - GUE/NGL,Belgium,RUDI KENNES
Mary KHAN,Europe of Sovereign Nations Group,Germany,MARY KHAN
Sophia KIRCHER,Group of the European People's Party (Christian Democrats),Austria,SOPHIA KIRCHER
Sarah KNAFO,Europe of Sovereign Nations Group,France,SARAH KNAFO
Ondřej KNOTEK,Patriots for Europe Group,Czechia,ONDŘEJ KNOTEK
Jaroslav KNOT,Patriots for Europe Group,Czechia,JAROSLAV KNOT
Michał KOBOSKO,Renew Europe Group,Poland,MICHAŁ KOBOSKO
Stefan KÖHLER,Group of the European People's Party (Christian Democrats),Germany,STEFAN KÖHLER
Łukasz KOHUT,Group of the European People's Party (Christian Democrats),Poland,ŁUKASZ KOHUT
Arba KOKALARI,Group of the European People's Party (Christian Democrats),Sweden,ARBA KOKALARI
Ondřej KOLÁŘ,Group of the European People's Party (Christian Democrats),Czechia,ONDŘEJ KOLÁŘ
Kinga KOLLÁR,Group of the European People's Party (Christian Democrats),Hungary,KINGA KOLLÁR
Rihards KOLS,European Conservatives and Reformists Group,Latvia,RIHARDS KOLS
Kateřina KONEČNÁ,Non-attached Members,Czechia,KATEŘINA KONEČNÁ
Ewa KOPACZ,Group of the European People's Party (Christian Democrats),Poland,EWA KOPACZ
Moritz KÖRNER,Renew Europe Group,Germany,MORITZ KÖRNER
Elena KOUNTOURA,The Left group in the European Parliament - GUE/NGL,Greece,ELENA KOUNTOURA
Andrey KOVATCHEV,Group of the European People's Party (Christian Democrats),Bulgaria,ANDREY KOVATCHEV
Vilis KRIŠTOPANS,Patriots for Europe Group,Latvia,VILIS KRIŠTOPANS
Sebastian KRUIS,Patriots for Europe Group,Netherlands,SEBASTIAN KRUIS
Ondřej KRUTÍLEK,European Conservatives and Reformists Group,Czechia,ONDŘEJ KRUTÍLEK
Tomáš KUBÍN,Patriots for Europe Group,Czechia,TOMÁŠ KUBÍN
Alice KUHNKE,Group of the Greens/European Free Alliance,Sweden,ALICE KUHNKE
András Tivadar KULJA,Group of the European People's Party (Christian Democrats),Hungary,ANDRÁS TIVADAR KULJA
Katri KULMUNI,Renew Europe Group,Finland,KATRI KULMUNI
Merja KYLLÖNEN,The Left group in the European Parliament - GUE/NGL,Finland,MERJA KYLLÖNEN
Ilhan KYUCHYUK,Renew Europe Group,Bulgaria,ILHAN KYUCHYUK
Sergey LAGODINSKY,Group of the Greens/European Free Alliance,Germany,SERGEY LAGODINSKY
Eszter LAKOS,Group of the European People's Party (Christian Democrats),Hungary,ESZTER LAKOS
Aurore LALUCQ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,France,AURORE LALUCQ
Bernd LANGE,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,BERND LANGE
Katrin LANGENSIEPEN,Group of the Greens/European Free Alliance,Germany,KATRIN LANGENSIEPEN
Judita LAŠŠÁKOVÁ,Non-attached Members,Slovakia,JUDITA LAŠŠÁKOVÁ
András LÁSZLÓ,Patriots for Europe Group,Hungary,ANDRÁS LÁSZLÓ
Afroditi LATINOPOULOU,Patriots for Europe Group,Greece,AFRODITI LATINOPOULOU
Murielle LAURENT,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,France,MURIELLE LAURENT
Camilla LAURETI,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,CAMILLA LAURETI
Rada LAYKOVA,Europe of Sovereign Nations Group,Bulgaria,RADA LAYKOVA
Ilia LAZAROV,Group of the European People's Party (Christian Democrats),Bulgaria,ILIA LAZAROV
Luis-Vicențiu LAZARUS,Non-attached Members,Romania,LUIS-VICENȚIU LAZARUS
Isabelle LE CALLENNEC,Group of the European People's Party (Christian Democrats),France,ISABELLE LE CALLENNEC
Fabrice LEGGERI,Patriots for Europe Group,France,FABRICE LEGGERI
Jeroen LENAERS,Group of the European People's Party (Christian Democrats),Netherlands,JEROEN LENAERS
Julien LEONARDELLI,Patriots for Europe Group,France,JULIEN LEONARDELLI
Janusz LEWANDOWSKI,Group of the European People's Party (Christian Democrats),Poland,JANUSZ LEWANDOWSKI
Miriam LEXMANN,Group of the European People's Party (Christian Democrats),Slovakia,MIRIAM LEXMANN
Peter LIESE,Group of the European People's Party (Christian Democrats),Germany,PETER LIESE
Norbert LINS,Group of the European People's Party (Christian Democrats),Germany,NORBERT LINS
Nathalie LOISEAU,Renew Europe Group,France,NATHALIE LOISEAU
Morten LØKKEGAARD,Renew Europe Group,Denmark,MORTEN LØKKEGAARD
Reinhold LOPATKA,Group of the European People's Party (Christian Democrats),Austria,REINHOLD LOPATKA
Javi LÓPEZ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,JAVI LÓPEZ
Juan Fernando LÓPEZ AGUILAR,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,JUAN FERNANDO LÓPEZ AGUILAR
Antonio LÓPEZ-ISTÚRIZ WHITE,Group of the European People's Party (Christian Democrats),Spain,ANTONIO LÓPEZ-ISTÚRIZ WHITE
Isabella LÖVIN,Group of the Greens/European Free Alliance,Sweden,ISABELLA LÖVIN
Mimmo LUCANO,The Left group in the European Parliament - GUE/NGL,Italy,MIMMO LUCANO
César LUENA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,CÉSAR LUENA
Elżbieta Katarzyna ŁUKACIJEWSKA,Group of the European People's Party (Christian Democrats),Poland,ELŻBIETA KATARZYNA ŁUKACIJEWSKA
Giuseppe LUPO,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,GIUSEPPE LUPO
David MCALLISTER,Group of the European People's Party (Christian Democrats),Germany,DAVID MCALLISTER
Jaak MADISON,European Conservatives and Reformists Group,Estonia,JAAK MADISON
Cristina MAESTRE,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,CRISTINA MAESTRE
Lara MAGONI,European Conservatives and Reformists Group,Italy,LARA MAGONI
Péter MAGYAR,Group of the European People's Party (Christian Democrats),Hungary,PÉTER MAGYAR
Marit MAIJ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Netherlands,MARIT MAIJ
Marlena MALĄG,European Conservatives and Reformists Group,Poland,MARLENA MALĄG
Claudiu MANDA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Romania,CLAUDIU MANDA
Lukas MANDL,Group of the European People's Party (Christian Democrats),Austria,LUKAS MANDL
Yannis MANIATIS,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Greece,YANNIS MANIATIS
Mario MANTOVANI,European Conservatives and Reformists Group,Italy,MARIO MANTOVANI
Pierfrancesco MARAN,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,PIERFRANCESCO MARAN
Jagna MARCZUŁAJTIS-WALCZAK,Group of the European People's Party (Christian Democrats),Poland,JAGNA MARCZUŁAJTIS-WALCZAK
Marion MARÉCHAL,European Conservatives and Reformists Group,France,MARION MARÉCHAL
Thierry MARIANI,Patriots for Europe Group,France,THIERRY MARIANI
Ignazio Roberto MARINO,Group of the Greens/European Free Alliance,Italy,IGNAZIO ROBERTO MARINO
Erik MARQUARDT,Group of the Greens/European Free Alliance,Germany,ERIK MARQUARDT
Jorge MARTÍN FRÍAS,Patriots for Europe Group,Spain,JORGE MARTÍN FRÍAS
Catarina MARTINS,The Left group in the European Parliament - GUE/NGL,Portugal,CATARINA MARTINS
Fulvio MARTUSCIELLO,Group of the European People's Party (Christian Democrats),Italy,FULVIO MARTUSCIELLO
Vicent MARZÀ IBÁÑEZ,Group of the Greens/European Free Alliance,Spain,VICENT MARZÀ IBÁÑEZ
Gabriel MATO,Group of the European People's Party (Christian Democrats),Spain,GABRIEL MATO
Sara MATTHIEU,Group of the Greens/European Free Alliance,Belgium,SARA MATTHIEU
Costas MAVRIDES,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Cyprus,COSTAS MAVRIDES
Eva MAYDELL,Group of the European People's Party (Christian Democrats),Bulgaria,EVA MAYDELL
Georg MAYER,Patriots for Europe Group,Austria,GEORG MAYER
Milan MAZUREK,Europe of Sovereign Nations Group,Slovakia,MILAN MAZUREK
Liudas MAŽYLIS,Group of the European People's Party (Christian Democrats),Lithuania,LIUDAS MAŽYLIS
Michael MCNAMARA,Renew Europe Group,Ireland,MICHAEL MCNAMARA
Nora MEBAREK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,France,NORA MEBAREK
Alexandra MEHNERT,Group of the European People's Party (Christian Democrats),Germany,ALEXANDRA MEHNERT
Vangelis MEIMARAKIS,Group of the European People's Party (Christian Democrats),Greece,VANGELIS MEIMARAKIS
Eleonora MELETI,Group of the European People's Party (Christian Democrats),Greece,ELEONORA MELETI
Ana Catarina MENDES,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Portugal,ANA CATARINA MENDES
Idoia MENDIA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,IDOIA MENDIA
Verena MERTENS,Group of the European People's Party (Christian Democrats),Germany,VERENA MERTENS
Marina MESURE,The Left group in the European Parliament - GUE/NGL,France,MARINA MESURE
Roberta METSOLA,Group of the European People's Party (Christian Democrats),Malta,ROBERTA METSOLA
Tilly METZ,Group of the Greens/European Free Alliance,Luxembourg,TILLY METZ
Sven MIKSER,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Estonia,SVEN MIKSER
Giuseppe MILAZZO,European Conservatives and Reformists Group,Italy,GIUSEPPE MILAZZO
Francisco José MILLÁN MON,Group of the European People's Party (Christian Democrats),Spain,FRANCISCO JOSÉ MILLÁN MON
Nikola MINCHEV,Renew Europe Group,Bulgaria,NIKOLA MINCHEV
Ana MIRANDA PAZ,Group of the Greens/European Free Alliance,Spain,ANA MIRANDA PAZ
Csaba MOLNÁR,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Hungary,CSABA MOLNÁR
Irene MONTERO,The Left group in the European Parliament - GUE/NGL,Spain,IRENE MONTERO
Dolors MONTSERRAT,Group of the European People's Party (Christian Democrats),Spain,DOLORS MONTSERRAT
Carolina MORACE,The Left group in the European Parliament - GUE/NGL,Italy,CAROLINA MORACE
Nadine MORANO,Group of the European People's Party (Christian Democrats),France,NADINE MORANO
Letizia MORATTI,Group of the European People's Party (Christian Democrats),Italy,LETIZIA MORATTI
Tiago MOREIRA DE SÁ,Patriots for Europe Group,Portugal,TIAGO MOREIRA DE SÁ
Javier MORENO SÁNCHEZ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,JAVIER MORENO SÁNCHEZ
Alessandra MORETTI,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,ALESSANDRA MORETTI
Dan-Ştefan MOTREANU,Group of the European People's Party (Christian Democrats),Romania,DAN-ŞTEFAN MOTREANU
Arkadiusz MULARCZYK,European Conservatives and Reformists Group,Poland,ARKADIUSZ MULARCZYK
Piotr MÜLLER,European Conservatives and Reformists Group,Poland,PIOTR MÜLLER
Ciaran MULLOOLY,Renew Europe Group,Ireland,CIARAN MULLOOLY
Siegfried MUREŞAN,Group of the European People's Party (Christian Democrats),Romania,SIEGFRIED MUREŞAN
Ştefan MUŞOIU,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Romania,ŞTEFAN MUŞOIU
Jana NAGYOVÁ,Patriots for Europe Group,Czechia,JANA NAGYOVÁ
Dario NARDELLA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,DARIO NARDELLA
Fernando NAVARRETE ROJAS,Group of the European People's Party (Christian Democrats),Spain,FERNANDO NAVARRETE ROJAS
Victor NEGRESCU,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Romania,VICTOR NEGRESCU
Matjaž NEMEC,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Slovenia,MATJAŽ NEMEC
Danuše NERUDOVÁ,Group of the European People's Party (Christian Democrats),Czechia,DANUŠE NERUDOVÁ
Denis NESCI,European Conservatives and Reformists Group,Italy,DENIS NESCI
Hans NEUHOFF,Europe of Sovereign Nations Group,Germany,HANS NEUHOFF
Hannah NEUMANN,Group of the Greens/European Free Alliance,Germany,HANNAH NEUMANN
Elena NEVADO DEL CAMPO,Group of the European People's Party (Christian Democrats),Spain,ELENA NEVADO DEL CAMPO
Dan NICA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Romania,DAN NICA
Angelika NIEBLER,Group of the European People's Party (Christian Democrats),Germany,ANGELIKA NIEBLER
Luděk NIEDERMAYER,Group of the European People's Party (Christian Democrats),Czechia,LUDĚK NIEDERMAYER
Ville NIINISTÖ,Group of the Greens/European Free Alliance,Finland,VILLE NIINISTÖ
Lefteris NIKOLAOU-ALAVANOS,Non-attached Members,Greece,LEFTERIS NIKOLAOU-ALAVANOS
Aleksandar NIKOLIC,Patriots for Europe Group,France,ALEKSANDAR NIKOLIC
Cynthia NÍ MHURCHÚ,Renew Europe Group,Ireland,CYNTHIA NÍ MHURCHÚ
Maria NOICHL,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,MARIA NOICHL
Rasmus NORDQVIST,Group of the Greens/European Free Alliance,Denmark,RASMUS NORDQVIST
Andrey NOVAKOV,Group of the European People's Party (Christian Democrats),Bulgaria,ANDREY NOVAKOV
Mirosława NYKIEL,Group of the European People's Party (Christian Democrats),Poland,MIROSŁAWA NYKIEL
Daniel OBAJTEK,European Conservatives and Reformists Group,Poland,DANIEL OBAJTEK
Ľudovít ÓDOR,Renew Europe Group,Slovakia,ĽUDOVÍT ÓDOR
Jan-Christoph OETJEN,Renew Europe Group,Germany,JAN-CHRISTOPH OETJEN
Maria OHISALO,Group of the Greens/European Free Alliance,Finland,MARIA OHISALO
João OLIVEIRA,The Left group in the European Parliament - GUE/NGL,Portugal,JOÃO OLIVEIRA
Philippe OLIVIER,Patriots for Europe Group,France,PHILIPPE OLIVIER
Younous OMARJEE,The Left group in the European Parliament - GUE/NGL,France,YOUNOUS OMARJEE
Branislav ONDRUŠ,Non-attached Members,Slovakia,BRANISLAV ONDRUŠ
Aodhán Ó RÍORDÁIN,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Ireland,AODHÁN Ó RÍORDÁIN
Leoluca ORLANDO,Group of the Greens/European Free Alliance,Italy,LEOLUCA ORLANDO
Jacek OZDOBA,European Conservatives and Reformists Group,Poland,JACEK OZDOBA
Urmas PAET,Renew Europe Group,Estonia,URMAS PAET
Leire PAJÍN,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,LEIRE PAJÍN
Valentina PALMISANO,The Left group in the European Parliament - GUE/NGL,Italy,VALENTINA PALMISANO
Fidias PANAYIOTOU,Non-attached Members,Cyprus,FIDIAS PANAYIOTOU
Kostas PAPADAKIS,Non-attached Members,Greece,KOSTAS PAPADAKIS
Nikos PAPANDREOU,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Greece,NIKOS PAPANDREOU
Nikos PAPPAS,The Left group in the European Parliament - GUE/NGL,Greece,NIKOS PAPPAS
Nicolás PASCUAL DE LA PARTE,Group of the European People's Party (Christian Democrats),Spain,NICOLÁS PASCUAL DE LA PARTE
Aldo PATRICIELLO,Patriots for Europe Group,Italy,ALDO PATRICIELLO
